canonical_smiles,docking_score,QED,Synthetic Accessibility,PAINS,SureChEMBL,Glaxo,Brenk,IC50,Chirality,FullStereoInfo,NumChiralCenters,E/Z_status,ligand_name,Minimum Energy
COc1ccc(Cc2nc3ccccc3n2CC(=O)N/N=C/c2ccc(O)cc2)cc1OC,-6.0,0.3202249565997671,2.27961140977059,0,0,1,1,0,Ахиральная,True,0,E/Z не применима,ligand_4107,-3.6
CC(C)CCN(C(=O)c1ccccn1)c1c(N)n(Cc2ccccc2)c(=O)[nH]c1=O,-7.1,0.6234875590965175,2.381312494276651,0,0,0,0,0,Ахиральная,True,0,E/Z не применима,ligand_4108,-7.2
CC(C)(CC(=O)O)C(=O)O,-4.3,0.6100056667151695,2.2019385974447445,0,0,0,0,1,Ахиральная,True,0,E/Z не применима,ligand_4110,-4.3
O=C(O)COc1ccccc1/C=N/NC(=O)CSc1nnc(SCc2ccccc2)s1,-5.5,0.2464503372260152,2.3593067805254737,0,0,1,1,1,Ахиральная,True,0,E/Z не применима,ligand_4115,-5.1
Cc1cc(C)n(CCC(=O)N/N=C/c2ccc(Br)c([N+](=O)[O-])c2)n1,-6.0,0.4623408343320995,2.44961042636764,0,0,1,1,0,Ахиральная,True,0,E/Z не применима,ligand_4117,-5.6
COc1ccccc1NCC(=O)N/N=C(\C)c1cccs1,-6.2,0.6368980966583601,2.108739005047555,0,1,1,1,1,Ахиральная,True,0,E/Z не применима,ligand_4118,-6.0
COc1ccc(C)cc1NS(=O)(=O)c1ccc2c(c1)N(C(C)=O)CCO2,-8.0,0.8864016989498781,2.205992951002123,0,0,0,0,1,Ахиральная,True,0,E/Z не применима,ligand_4121,-7.8
CC(C)N1CCN(C2=C(Nc3cccc(Cl)c3)C(=O)c3ccccc3C2=O)CC1,-7.8,0.8244898106593528,2.3662964412210368,1,0,1,0,0,Ахиральная,True,0,E/Z не применима,ligand_4129,-8.0
COc1ccc(-c2nc(-c3ccc(S(C)(=O)=O)cc3)ccc2N)cn1,-2.1,0.773076691680887,2.276530137275543,0,0,0,0,0,Ахиральная,True,0,E/Z не применима,ligand_4130,-3.4
CC(C)NC(=S)N/N=C/c1c[nH]c2ccccc12,-6.1,0.4510120374929617,2.3879946115122763,0,1,0,1,0,Ахиральная,True,0,E/Z не применима,ligand_4131,-6.1
CC(=N/O)/C(C)=N\NC(=O)c1ccccn1,-5.8,0.4529205682696491,2.593593230593086,1,1,1,1,0,Ахиральная,True,0,E/Z не применима,ligand_4132,-5.8
Cc1ccc(-c2ccc(O)c(C(=O)O)c2)cc1C,-7.3,0.8483596540047795,1.721533793338855,0,0,0,0,1,Ахиральная,True,0,E/Z не применима,ligand_4134,-7.2
